wsid,mdct,date,yr,mo,da,hr
306,06/11/2006 4:00,06/11/2006,2006,11,6,4
306,06/11/2006 5:00,06/11/2006,2006,11,6,5
306,06/11/2006 6:00,06/11/2006,2006,11,6,6
306,06/11/2006 7:00,06/11/2006,2006,11,6,7
306,06/11/2006 8:00,06/11/2006,2006,11,6,8
306,06/11/2006 9:00,06/11/2006,2006,11,6,9
306,06/11/2006 10:00,06/11/2006,2006,11,6,10
306,06/11/2006 11:00,06/11/2006,2006,11,6,11
306,06/11/2006 12:00,06/11/2006,2006,11,6,12
306,06/11/2006 13:00,06/11/2006,2006,11,6,13
306,06/11/2006 14:00,06/11/2006,2006,11,6,14
306,06/11/2006 15:00,06/11/2006,2006,11,6,15
306,06/11/2006 16:00,06/11/2006,2006,11,6,16
306,06/11/2006 17:00,06/11/2006,2006,11,6,17
306,06/11/2006 18:00,06/11/2006,2006,11,6,18
306,06/11/2006 19:00,06/11/2006,2006,11,6,19
306,06/11/2006 20:00,06/11/2006,2006,11,6,20
306,06/11/2006 21:00,06/11/2006,2006,11,6,21
306,06/11/2006 22:00,06/11/2006,2006,11,6,22
306,06/11/2006 23:00,06/11/2006,2006,11,6,23
306,07/11/2006 0:00,07/11/2006,2006,11,7,0
306,07/11/2006 1:00,07/11/2006,2006,11,7,1
306,07/11/2006 2:00,07/11/2006,2006,11,7,2
306,07/11/2006 3:00,07/11/2006,2006,11,7,3
306,07/11/2006 4:00,07/11/2006,2006,11,7,4
307,25/10/2006 0:00,25/10/2006,2006,10,25,0
307,25/10/2006 1:00,25/10/2006,2006,10,25,1
307,25/10/2006 2:00,25/10/2006,2006,10,25,2
307,25/10/2006 3:00,25/10/2006,2006,10,25,3
307,25/10/2006 4:00,25/10/2006,2006,10,25,4
307,25/10/2006 5:00,25/10/2006,2006,10,25,5
307,25/10/2006 6:00,25/10/2006,2006,10,25,6
307,25/10/2006 7:00,25/10/2006,2006,10,25,7
307,25/10/2006 8:00,25/10/2006,2006,10,25,8
307,25/10/2006 9:00,25/10/2006,2006,10,25,9
307,25/10/2006 10:00,25/10/2006,2006,10,25,10
307,25/10/2006 11:00,25/10/2006,2006,10,25,11
307,25/10/2006 12:00,25/10/2006,2006,10,25,12
307,25/10/2006 13:00,25/10/2006,2006,10,25,13
307,25/10/2006 14:00,25/10/2006,2006,10,25,14
307,25/10/2006 15:00,25/10/2006,2006,10,25,15
307,25/10/2006 16:00,25/10/2006,2006,10,25,16
307,25/10/2006 17:00,25/10/2006,2006,10,25,17
307,25/10/2006 18:00,25/10/2006,2006,10,25,18
307,25/10/2006 19:00,25/10/2006,2006,10,25,19
307,25/10/2006 20:00,25/10/2006,2006,10,25,20
307,25/10/2006 21:00,25/10/2006,2006,10,25,21
307,25/10/2006 22:00,25/10/2006,2006,10,25,22
307,25/10/2006 23:00,25/10/2006,2006,10,25,23
307,26/10/2006 0:00,26/10/2006,2006,10,26,0
307,26/10/2006 1:00,26/10/2006,2006,10,26,1
307,26/10/2006 2:00,26/10/2006,2006,10,26,2
307,26/10/2006 3:00,26/10/2006,2006,10,26,3
307,26/10/2006 4:00,26/10/2006,2006,10,26,4
307,26/10/2006 5:00,26/10/2006,2006,10,26,5
307,26/10/2006 6:00,26/10/2006,2006,10,26,6
307,26/10/2006 7:00,26/10/2006,2006,10,26,7
307,26/10/2006 8:00,26/10/2006,2006,10,26,8
307,26/10/2006 9:00,26/10/2006,2006,10,26,9
307,26/10/2006 10:00,26/10/2006,2006,10,26,10
307,26/10/2006 11:00,26/10/2006,2006,10,26,11
307,26/10/2006 12:00,26/10/2006,2006,10,26,12
307,26/10/2006 13:00,26/10/2006,2006,10,26,13
307,26/10/2006 14:00,26/10/2006,2006,10,26,14
307,26/10/2006 15:00,26/10/2006,2006,10,26,15
307,26/10/2006 16:00,26/10/2006,2006,10,26,16
307,26/10/2006 17:00,26/10/2006,2006,10,26,17
307,26/10/2006 18:00,26/10/2006,2006,10,26,18
307,26/10/2006 19:00,26/10/2006,2006,10,26,19
307,26/10/2006 20:00,26/10/2006,2006,10,26,20
307,26/10/2006 21:00,26/10/2006,2006,10,26,21
307,26/10/2006 22:00,26/10/2006,2006,10,26,22
307,26/10/2006 23:00,26/10/2006,2006,10,26,23
307,27/10/2006 0:00,27/10/2006,2006,10,27,0
307,27/10/2006 1:00,27/10/2006,2006,10,27,1
307,27/10/2006 2:00,27/10/2006,2006,10,27,2
307,27/10/2006 3:00,27/10/2006,2006,10,27,3
307,27/10/2006 4:00,27/10/2006,2006,10,27,4
307,27/10/2006 5:00,27/10/2006,2006,10,27,5
307,27/10/2006 6:00,27/10/2006,2006,10,27,6
307,27/10/2006 7:00,27/10/2006,2006,10,27,7
307,27/10/2006 8:00,27/10/2006,2006,10,27,8
307,27/10/2006 9:00,27/10/2006,2006,10,27,9
307,27/10/2006 10:00,27/10/2006,2006,10,27,10
307,27/10/2006 11:00,27/10/2006,2006,10,27,11
307,27/10/2006 12:00,27/10/2006,2006,10,27,12
307,27/10/2006 13:00,27/10/2006,2006,10,27,13
307,27/10/2006 14:00,27/10/2006,2006,10,27,14
307,27/10/2006 15:00,27/10/2006,2006,10,27,15
307,27/10/2006 16:00,27/10/2006,2006,10,27,16
307,27/10/2006 17:00,27/10/2006,2006,10,27,17
307,27/10/2006 18:00,27/10/2006,2006,10,27,18
307,27/10/2006 19:00,27/10/2006,2006,10,27,19
307,27/10/2006 20:00,27/10/2006,2006,10,27,20
307,27/10/2006 21:00,27/10/2006,2006,10,27,21
307,27/10/2006 22:00,27/10/2006,2006,10,27,22
307,27/10/2006 23:00,27/10/2006,2006,10,27,23
307,28/10/2006 0:00,28/10/2006,2006,10,28,0
307,28/10/2006 1:00,28/10/2006,2006,10,28,1
307,28/10/2006 2:00,28/10/2006,2006,10,28,2
307,28/10/2006 3:00,28/10/2006,2006,10,28,3
307,28/10/2006 4:00,28/10/2006,2006,10,28,4
307,28/10/2006 5:00,28/10/2006,2006,10,28,5
307,28/10/2006 6:00,28/10/2006,2006,10,28,6
307,28/10/2006 7:00,28/10/2006,2006,10,28,7
307,28/10/2006 8:00,28/10/2006,2006,10,28,8
307,28/10/2006 9:00,28/10/2006,2006,10,28,9
307,28/10/2006 10:00,28/10/2006,2006,10,28,10
307,28/10/2006 11:00,28/10/2006,2006,10,28,11
307,28/10/2006 12:00,28/10/2006,2006,10,28,12
307,28/10/2006 13:00,28/10/2006,2006,10,28,13
307,28/10/2006 14:00,28/10/2006,2006,10,28,14
307,28/10/2006 15:00,28/10/2006,2006,10,28,15
307,28/10/2006 16:00,28/10/2006,2006,10,28,16
307,28/10/2006 17:00,28/10/2006,2006,10,28,17
307,28/10/2006 18:00,28/10/2006,2006,10,28,18
307,28/10/2006 19:00,28/10/2006,2006,10,28,19
307,28/10/2006 20:00,28/10/2006,2006,10,28,20
307,28/10/2006 21:00,28/10/2006,2006,10,28,21
307,28/10/2006 22:00,28/10/2006,2006,10,28,22
307,28/10/2006 23:00,28/10/2006,2006,10,28,23
307,29/10/2006 0:00,29/10/2006,2006,10,29,0
307,29/10/2006 1:00,29/10/2006,2006,10,29,1
307,29/10/2006 2:00,29/10/2006,2006,10,29,2
307,29/10/2006 3:00,29/10/2006,2006,10,29,3
307,29/10/2006 4:00,29/10/2006,2006,10,29,4
