wsid,mdct,wdsp,wdct,gust
303,01/11/2006 19:00,5.1,48,13.5
303,01/11/2006 20:00,3.8,44,11.3
303,01/11/2006 21:00,4.3,29,11.2
303,01/11/2006 22:00,3.6,37,9.3
303,01/11/2006 23:00,3.5,35,9.1
303,02/11/2006 0:00,2.8,13,8.2
303,02/11/2006 1:00,4.5,13,8.4
303,02/11/2006 2:00,2.4,2,8.4
303,02/11/2006 3:00,2.2,10,5.8
303,02/11/2006 4:00,2.1,359,6.7
303,02/11/2006 5:00,2.8,13,5.5
303,02/11/2006 6:00,2.9,18,7
303,02/11/2006 7:00,1.2,348,5.7
303,02/11/2006 8:00,3.4,19,6.2
303,02/11/2006 9:00,2.6,13,6.2
303,02/11/2006 10:00,1.3,338,6.7
303,02/11/2006 11:00,2.3,356,6
303,02/11/2006 12:00,3.2,329,7.8
303,02/11/2006 13:00,4.4,5,8.7
303,02/11/2006 14:00,4.9,16,9.3
303,02/11/2006 15:00,3.5,34,9.3
303,02/11/2006 16:00,4.3,34,9.5
303,02/11/2006 17:00,4.7,41,10.2
303,02/11/2006 18:00,4.9,24,11.4
303,02/11/2006 19:00,4.7,32,10.6
303,02/11/2006 20:00,4.9,30,10.6
303,02/11/2006 21:00,3.8,18,10.2
303,02/11/2006 22:00,3.3,17,9.4
303,02/11/2006 23:00,3.5,24,8.4
303,03/11/2006 0:00,2.9,12,8.9
303,03/11/2006 1:00,3.7,19,8.1
303,03/11/2006 2:00,2.1,6,7.4
303,03/11/2006 3:00,2.5,8,5.9
303,03/11/2006 4:00,2.9,15,5.7
303,03/11/2006 5:00,1.5,346,5.6
303,03/11/2006 6:00,1.3,347,5.1
303,03/11/2006 7:00,2.4,355,5.4
303,03/11/2006 8:00,2.4,6,6
303,03/11/2006 9:00,1.4,1,6
303,03/11/2006 10:00,2,16,4.1
303,03/11/2006 11:00,2.1,8,4.7
303,03/11/2006 12:00,2.1,14,4.7
303,03/11/2006 13:00,1.7,16,4
303,03/11/2006 14:00,2.2,11,4.8
303,03/11/2006 15:00,3.2,15,6.1
303,03/11/2006 16:00,3.3,14,6.4
303,03/11/2006 17:00,3.2,68,6.5
303,03/11/2006 18:00,2.4,62,6.2
303,03/11/2006 19:00,2.6,35,6.1
303,03/11/2006 20:00,1.3,22,5
303,03/11/2006 21:00,0.8,31,3.8
303,03/11/2006 22:00,1.4,78,3.3
303,03/11/2006 23:00,1.9,50,4
303,04/11/2006 0:00,1.9,22,5.1
303,04/11/2006 1:00,1.8,347,4.2
303,04/11/2006 2:00,1.2,32,4
303,04/11/2006 3:00,1.9,39,4.2
303,04/11/2006 4:00,1,357,4.2
304,09/08/2007 0:00,0,0,0
304,09/08/2007 1:00,0,0,0
304,09/08/2007 2:00,0,0,0
304,09/08/2007 3:00,0,0,0
304,09/08/2007 4:00,0,0,0
304,09/08/2007 5:00,0,0,0
304,09/08/2007 6:00,0,0,0
304,09/08/2007 7:00,0,0,0
304,09/08/2007 8:00,0,0,0
304,09/08/2007 9:00,0,0,0
304,09/08/2007 10:00,,10,0
304,09/08/2007 11:00,0.9,84,3.8
304,09/08/2007 12:00,1.5,81,4.9
304,09/08/2007 13:00,0,0,0
304,09/08/2007 14:00,1.3,85,3.7
304,09/08/2007 15:00,2.9,107,5.3
304,09/08/2007 16:00,0.8,68,5.3
304,09/08/2007 17:00,0.5,77,4.2
304,09/08/2007 18:00,1.8,82,4.7
304,09/08/2007 19:00,2.5,86,6.9
304,09/08/2007 20:00,2.4,80,6.9
304,09/08/2007 21:00,1.6,88,6.4
304,09/08/2007 22:00,1.7,77,5.5
304,09/08/2007 23:00,1.2,91,5.2
304,10/08/2007 0:00,0.7,68,3.7
304,10/08/2007 1:00,1.1,64,3.4
304,10/08/2007 2:00,0.6,62,2.9
304,10/08/2007 3:00,0.9,74,3.4
304,10/08/2007 4:00,0.3,42,3.5
