wsid,mdct,prcp,hmdy,hmax,hmin
303,02/11/2006 9:00,,88,90,88
303,02/11/2006 10:00,,93,93,86
303,02/11/2006 11:00,0.2,70,93,69
303,02/11/2006 12:00,,62,72,62
303,02/11/2006 13:00,,59,64,58
303,02/11/2006 14:00,,55,59,54
303,02/11/2006 15:00,,64,65,53
303,02/11/2006 16:00,,63,68,54
303,02/11/2006 17:00,,65,66,62
303,02/11/2006 18:00,,66,66,62
303,02/11/2006 19:00,,74,75,65
303,02/11/2006 20:00,,77,77,74
303,02/11/2006 21:00,,82,82,77
303,02/11/2006 22:00,,85,85,82
303,02/11/2006 23:00,,83,85,83
303,03/11/2006 0:00,,83,83,83
303,03/11/2006 1:00,,82,83,81
303,03/11/2006 2:00,,83,83,81
303,03/11/2006 3:00,,81,84,80
303,03/11/2006 4:00,,84,84,81
303,03/11/2006 5:00,,87,87,84
303,03/11/2006 6:00,,83,88,83
303,03/11/2006 7:00,,77,84,77
303,03/11/2006 8:00,,77,78,76
303,03/11/2006 9:00,,79,80,77
303,03/11/2006 10:00,,80,83,78
303,03/11/2006 11:00,,76,80,75
303,03/11/2006 12:00,,74,76,74
303,03/11/2006 13:00,,68,74,68
303,03/11/2006 14:00,,65,70,63
303,03/11/2006 15:00,,60,65,58
303,03/11/2006 16:00,,59,63,56
303,03/11/2006 17:00,,69,69,59
303,03/11/2006 18:00,0.2,81,81,69
303,03/11/2006 19:00,0.4,83,85,81
303,03/11/2006 20:00,1.4,90,90,83
303,03/11/2006 21:00,0.2,91,92,89
303,03/11/2006 22:00,3.6,93,93,88
303,03/11/2006 23:00,4.4,93,94,93
303,04/11/2006 0:00,0.4,93,94,92
303,04/11/2006 1:00,,94,95,93
303,04/11/2006 2:00,6.2,96,96,94
303,04/11/2006 3:00,0.6,94,96,94
303,04/11/2006 4:00,,95,95,94
304,09/08/2007 0:00,0,0,0,0
304,09/08/2007 1:00,0,0,0,0
304,09/08/2007 2:00,0,0,0,0
304,09/08/2007 3:00,0,0,0,0
304,09/08/2007 4:00,0,0,0,0
304,09/08/2007 5:00,0,0,0,0
304,09/08/2007 6:00,0,0,0,0
304,09/08/2007 7:00,0,0,0,0
304,09/08/2007 8:00,0,0,0,0
304,09/08/2007 9:00,0,0,0,0
304,09/08/2007 10:00,,99,0,0
304,09/08/2007 11:00,0.2,93,99,93
304,09/08/2007 12:00,,83,96,83
304,09/08/2007 13:00,0,0,0,0
304,09/08/2007 14:00,,61,81,61
304,09/08/2007 15:00,,69,73,62
304,09/08/2007 16:00,,68,74,65
304,09/08/2007 17:00,,70,73,61
304,09/08/2007 18:00,,69,71,63
304,09/08/2007 19:00,,77,78,66
304,09/08/2007 20:00,,86,86,77
304,09/08/2007 21:00,,92,92,86
304,09/08/2007 22:00,,94,95,92
304,09/08/2007 23:00,,95,96,94
304,10/08/2007 0:00,,97,97,94
304,10/08/2007 1:00,,98,99,97
304,10/08/2007 2:00,,98,99,96
304,10/08/2007 3:00,,99,99,98
304,10/08/2007 4:00,,98,99,98
304,10/08/2007 5:00,,99,99,98
304,10/08/2007 6:00,,99,99,98
304,10/08/2007 7:00,,99,99,99
304,10/08/2007 8:00,,99,99,99
304,10/08/2007 9:00,,99,99,99
304,10/08/2007 10:00,,99,99,99
304,10/08/2007 11:00,,99,99,99
304,10/08/2007 12:00,,77,99,73
304,10/08/2007 13:00,,61,79,54
304,10/08/2007 14:00,,64,67,52
304,10/08/2007 15:00,,69,71,64
304,10/08/2007 16:00,,74,74,67
304,10/08/2007 17:00,,75,77,72
304,10/08/2007 18:00,,86,86,73
304,10/08/2007 19:00,,95,96,86
304,10/08/2007 20:00,,98,98,94
304,10/08/2007 21:00,,99,99,98
304,10/08/2007 22:00,0.2,99,99,99
304,10/08/2007 23:00,0.4,99,99,99
304,11/08/2007 0:00,0.8,99,99,99
304,11/08/2007 1:00,0.6,99,99,99
304,11/08/2007 2:00,0.6,99,99,99
304,11/08/2007 3:00,0.4,99,100,99
304,11/08/2007 4:00,0.6,99,100,99
304,11/08/2007 5:00,1,100,100,99
304,11/08/2007 6:00,0.6,100,100,99
304,11/08/2007 7:00,1,100,100,100
304,11/08/2007 8:00,1,100,100,100
304,11/08/2007 9:00,1.2,100,100,100
304,11/08/2007 10:00,0.8,100,100,99
304,11/08/2007 11:00,0.6,100,100,100
304,11/08/2007 12:00,,100,100,99
304,11/08/2007 13:00,,94,100,94
304,11/08/2007 14:00,,93,95,80
304,11/08/2007 15:00,,84,94,81
304,11/08/2007 16:00,,70,88,66
304,11/08/2007 17:00,,78,80,68
304,11/08/2007 18:00,,70,81,66
304,11/08/2007 19:00,,80,80,70
304,11/08/2007 20:00,,91,92,79
304,11/08/2007 21:00,,97,97,91
304,11/08/2007 22:00,,98,98,97
304,11/08/2007 23:00,,98,98,98
304,12/08/2007 0:00,,99,99,98
304,12/08/2007 1:00,,99,99,99
304,12/08/2007 2:00,,97,99,97
304,12/08/2007 3:00,,97,98,94
304,12/08/2007 4:00,,92,97,88
304,12/08/2007 5:00,,87,93,87
304,12/08/2007 6:00,,93,93,87
304,12/08/2007 7:00,,95,97,92
304,12/08/2007 8:00,,99,100,94
304,12/08/2007 9:00,,100,100,99
304,12/08/2007 10:00,,100,100,100
304,12/08/2007 11:00,,92,100,91
304,12/08/2007 12:00,,84,94,84
304,12/08/2007 13:00,,78,88,74
304,12/08/2007 14:00,,81,88,77
